$ 2006 QGT File; Data from C:/Users/g2echnb9/Documents/MFWill/HCR-LOP_IRRM_2020/boundaryConditions/RES_2020-01-13/HCR_LOP---0. Units in cubic meters per second.
# all times in PST
"JDAY","Spillway","Power","RO"
1,0,191.45,0
2,0,261.47,28.31
3,0,261.45,27.9
4,0,261.27,29.56
5,0,260.98,32.51
6,0,260.63,34.75
7,0,260.26,38.61
8,0,225.23,0
9,0,33.98,0
10,0,33.98,0
11,0,97.02,0
12,36.62,253.18,0
13,94,251.84,0
14,96.96,251.32,0
15,44.98,251.9,0
16,0.28,251.76,0
17,96.45,250.79,0
18,130.85,249.75,0
19,146.57,249.38,0
20,0,38.93,0
21,82.55,247.85,0
22,0,249.75,0
23,0,250.85,0
24,0,206.54,0
25,0,230.35,0
26,0,167.9,0
27,0,185.25,0
28,0,148.45,0
29,0,209.97,0
30,7.67,253.01,0
31,74.7,251.61,0
32,91.45,251.1,0
33,92.04,251.54,0
34,0,100.51,0
35,24.29,250.88,0
36,23.01,251,0
37,0,206.95,0
38,0,195.77,0
39,0,197.17,0
40,0,179.71,0
41,0,186.04,0
42,0,187.6,0
43,0,188.1,0
44,0,191.31,0
45,0,198.76,0
46,0,209.74,0
47,0,220.1,0
48,0,229.03,0
49,0,236.75,0
50,0,243.3,0
51,0,249.4,0
52,0,241.12,0
53,0,33.98,0
54,0,33.98,0
55,0,33.98,0
56,0,33.98,0
57,0,33.98,0
58,0,33.98,0
59,0,33.98,0
60,0,33.98,0
61,0,33.98,0
62,0,33.98,0
63,0,33.98,0
64,0,33.98,0
65,0,33.98,0
66,0,33.98,0
67,0,33.98,0
68,0,33.98,0
69,0,33.98,0
70,0,33.98,0
71,0,33.98,0
72,0,33.98,0
73,0,33.98,0
74,0,33.98,0
75,0,33.98,0
76,0,33.98,0
77,0,33.98,0
78,0,33.98,0
79,0,33.98,0
80,0,33.98,0
81,0,33.98,0
82,0,33.98,0
83,0,33.98,0
84,0,33.98,0
85,0,33.98,0
86,0,33.98,0
87,0,33.98,0
88,0,33.98,0
89,0,33.98,0
90,0,33.98,0
91,0,33.98,0
92,0,33.98,0
93,0,33.98,0
94,0,33.98,0
95,0,33.98,0
96,0,40.7,0
97,0,44.39,0
98,0,42.23,0
99,0,38.65,0
100,0,34.22,0
101,0,34.36,0
102,0,38.53,0
103,0,35.18,0
104,0,33.98,0
105,0,33.98,0
106,0,33.98,0
107,0,33.98,0
108,0,33.98,0
109,0,33.98,0
110,0,33.98,0
111,0,33.98,0
112,0,33.98,0
113,0,40.7,0
114,0,48.7,0
115,0,97.96,0
116,0,83.42,0
117,0,75.89,0
118,0,68.36,0
119,0,82.72,0
120,0,126.32,0
121,0,103.22,0
122,0,89.92,0
123,0,81.87,0
124,0,76.85,0
125,0,75.59,0
126,0,73.29,0
127,0,69.76,0
128,0,66.12,0
129,0,62.49,0
130,0,100.38,0
131,0,101.01,0
132,0,103.82,0
133,0,102.83,0
134,0,105.16,0
135,0,112.09,0
136,0,118.94,0
137,0,127.28,0
138,0,134.12,0
139,0,128,0
140,0,120.12,0
141,0,109.51,0
142,0,104.02,0
143,0,98.74,0
144,0,104.19,0
145,0,101.83,0
146,0,104.51,0
147,0,101.59,0
148,0,80.26,0
149,0,72.42,0
150,0,61.5,0
151,0,56.53,0
152,0,68.67,0
153,0,97.82,0
154,0,102.25,0
155,0,97.9,0
156,0,88.86,0
157,0,86.04,0
158,0,90.49,0
159,0,95.22,0
160,0,91.44,0
161,0,88.25,0
162,0,88.88,0
163,0,90.72,0
164,0,78.69,0
165,0,102.82,0
166,0,100.75,0
167,0,76.8,0
168,0,61.33,0
169,0,55.08,0
170,0,63.1,0
171,0,68.19,0
172,0,78.74,0
173,0,76.13,0
174,0,74.06,0
175,0,74.15,0
176,0,72.76,0
177,0,70.88,0
178,0,70.37,0
179,0,70.1,0
180,0,67.2,0
181,0,66.17,0
182,0,48.07,0
183,0,55.97,0
184,0,45.78,0
185,0,48.15,0
186,0,52.17,0
187,0,71.1,0
188,0,57.19,0
189,0,53.73,0
190,0,54.79,0
191,0,55.71,0
192,0,56.13,0
193,0,74.62,0
194,0,57.2,0
195,0,50.64,0
196,0,51.59,0
197,0,51.86,0
198,0,70.73,0
199,0,76.08,0
200,0,56.32,0
201,0,52.33,0
202,0,57.38,0
203,0,75.65,0
204,0,77.23,0
205,0,67.8,0
206,0,68.24,0
207,0,71.91,0
208,0,70.27,0
209,0,67.31,0
210,0,69.51,0
211,0,67.25,0
212,0,69.28,0
213,0,67.9,0
214,0,63.69,0
215,0,65.83,0
216,0,65.04,0
217,0,65.05,0
218,0,72.95,0
219,0,65.14,0
220,0,72.17,0
221,0,66.08,0
222,0,65.69,0
223,0,65.92,0
224,0,70.14,0
225,0,66.67,0
226,0,67.29,0
227,0,68.99,0
228,0,69.11,0
229,0,69.87,0
230,0,69.02,0
231,0,51.59,0
232,0,43.92,0
233,0,44.68,0
234,0,45.3,0
235,0,45.44,0
236,0,44.97,0
237,0,48.04,0
238,0,47.4,0
239,0,45.36,0
240,0,46.02,0
241,0,46.07,0
242,0,51.99,0
243,0,45.3,0
244,0,62.85,0
245,0,83.92,0
246,0,62.85,0
247,0,53.92,0
248,0,58.36,0
249,0,59.94,0
250,0,80.42,0
251,0,90.1,0
252,0,100.18,0
253,0,76.56,0
254,0,77.46,0
255,0,77.82,0
256,0,57.77,0
257,0,41.07,0
258,0,38.87,0
259,0,44.62,0
260,0,40.81,0
261,0,41.35,0
262,0,35.29,0
263,0,34.79,0
264,0,50.25,0
265,0,68.79,0
266,0,91.04,0
267,0,71.48,0
268,0,91.33,0
269,0,76.62,0
270,0,75.64,0
271,0,55.96,0
272,0,44.71,0
273,0,44.04,0
274,0,46.37,0
275,0,46.29,0
276,0,46.25,0
277,0,44.13,0
278,0,44.77,0
279,0,45.31,0
280,0,45.64,0
281,0,44.44,0
282,0,33.98,0
283,0,98.17,0
284,0,84.6,0
285,0,71.43,0
286,0,66.69,0
287,0,65.96,0
288,0,69.99,0
289,0,80.37,0
290,0,77.02,0
291,0,69.15,0
292,0,78.01,0
293,0,71.16,0
294,0,67.85,0
295,0,67.2,0
296,0,69.25,0
297,0,68.93,0
298,0,67.82,0
299,0,67.64,0
300,0,67.34,0
301,0,103.96,0
302,0,84.05,0
303,0,70.24,0
304,0,69.33,0
305,0,76.74,0
306,0,79.17,0
307,0,81.55,0
308,0,89.05,0
309,0,109.91,0
310,0,93.38,0
311,0,116.72,0
312,0,126.95,0
313,0,109.93,0
314,0,96.45,0
315,0,100.16,0
316,0,96.72,0
317,0,143.07,0
318,0,155.21,0
319,0,150.55,0
320,0,209.1,0
321,0,164.11,0
322,0,142.69,0
323,0,144.75,0
324,0,233.46,20.88
325,0,229.87,19.44
326,0,224.74,0
327,0,201.53,0
328,0,208.01,0
329,0,176.28,0
330,0,178.47,0
331,0,170.22,0
332,0,167.94,0
333,0,132.39,0
334,0,126.23,0
335,0,112.01,0
336,0,104.95,0
337,0,110.99,0
338,0,110.99,0
339,0,110.99,0
340,0,110.99,0
341,0,110.99,0
342,0,110.99,0
343,0,110.99,0
344,0,110.99,0
345,0,117.59,0
346,0,117.59,0
347,0,108,0
348,0,110.99,0
349,0,192.91,0
350,0,247.1,17.63
351,0,246.68,15.82
352,0,211.64,0
353,0,207.51,0
354,0,170.55,0
355,0,155.4,0
356,0,156.65,0
357,0,121.44,0
358,0,69.83,0
359,0,94.64,0
360,0,255.38,141.54
361,0,256.51,97.13
362,0,257.03,104.97
363,0,255.54,114.03
364,0,252.06,13.12
365,0,190.86,0
366,0,190.86,0
